"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Code Style Rules","Correctness Rules","Design Rules","Design Pattern","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Security Code Guideline Rules","Security Rules","Vulnerability Rules"
"L136","nestedTasks","test.SpecialSeq.nestedTasks;Ljava/util/Vector;","L126","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\etc\testcases\core\containersrc\test\SpecialSeq.java","29","5","29","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L141","fileset","test.SpecialSeq.fileset;Lorg/apache/tools/ant/types/FileSet;","L126","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\etc\testcases\core\containersrc\test\SpecialSeq.java","31","5","31","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L145","nestedEcho","test.SpecialSeq.nestedEcho;Lorg/apache/tools/ant/taskdefs/Echo;","L126","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\etc\testcases\core\containersrc\test\SpecialSeq.java","33","5","33","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L298","d","A.d;LD;","L290","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\etc\testcases\taskdefs\optional\depend\src1\A.java","18","5","18","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L337","dependency","A.dependency;LAPrivate;","L334","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\etc\testcases\taskdefs\optional\depend\src5\A.java","18","5","18","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L445","supportedAnnotations","DistributedAnnotationFactory.supportedAnnotations;Ljava/util/Collection;","L442","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\tests\antunit\taskdefs\apt\DistributedAnnotationFactory.java","34","5","35","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L476","env","DistributedAnnotationProcessor.env;LAnnotationProcessorEnvironment;","L470","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\tests\antunit\taskdefs\apt\DistributedAnnotationProcessor.java","35","5","35","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L504","s","Simple.s;Ljava/lang/String;","L500","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\tests\antunit\taskdefs\javac-dir\bad-src\Bad.java","21","5","21","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L71491","FILE_UTILS","task.BaseTask.FILE_UTILS;Lorg/apache/tools/ant/util/FileUtils;","L71488","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\tests\antunit\core\uuencode\src\task\BaseTask.java","33","5","33","74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L71492","inFile","task.BaseTask.inFile;Ljava/io/File;","L71488","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\tests\antunit\core\uuencode\src\task\BaseTask.java","34","5","34","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L71493","outFile","task.BaseTask.outFile;Ljava/io/File;","L71488","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\tests\antunit\core\uuencode\src\task\BaseTask.java","35","5","35","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L435","SINGLETON","Distributed$DistributionTypes.SINGLETON;LDistributed$DistributionTypes;","L422","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\tests\antunit\taskdefs\apt\Distributed.java","36","37","36","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L425","LOCAL","Distributed$DistributionTypes.LOCAL;LDistributed$DistributionTypes;","L422","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\tests\antunit\taskdefs\apt\Distributed.java","36","48","36","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L436","FAULT_TOLERANT","Distributed$DistributionTypes.FAULT_TOLERANT;LDistributed$DistributionTypes;","L422","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\tests\antunit\taskdefs\apt\Distributed.java","36","55","36","69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L401","FEDERATED","Distributed$DistributionTypes.FEDERATED;LDistributed$DistributionTypes;","L422","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\tests\antunit\taskdefs\apt\Distributed.java","36","71","36","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L437","MOBILE","Distributed$DistributionTypes.MOBILE;LDistributed$DistributionTypes;","L422","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\tests\antunit\taskdefs\apt\Distributed.java","36","82","36","88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L699","echo","org.example.tasks.TaskdefTestSimpleTask.echo;Lorg/example/tasks/TaskdefTestSimpleTask$Echo;","L691","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\tests\junit\org\example\tasks\TaskdefTestSimpleTask.java","34","5","34","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L694","message","org.example.tasks.TaskdefTestSimpleTask$Echo.message;Ljava/lang/String;","L692","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\tests\junit\org\example\tasks\TaskdefTestSimpleTask.java","28","9","28","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L831","FILE_UTILS","org.apache.tools.ant.AntClassLoader.FILE_UTILS;Lorg/apache/tools/ant/util/FileUtils;","L820","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\main\org\apache\tools\ant\AntClassLoader.java","75","5","75","74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
