"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Inheritance Metric Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L126","SpecialSeq","test.SpecialSeq","L104","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\etc\testcases\core\containersrc\test\SpecialSeq.java","27","1","67","2","0","0","0","0","0","0","0","0","1","1","1","7","7","0","0","5","9","0.4","0.285714","10","10","2","3","0.285714","10","2","3","0","0","2","25","41","12","9","3","0","4","0","4","0","43","11","0","33","7","25","41","12","9","3","0","4","0","4","0","43","11","0","33","7","0","0","8","1","2","0","0","1","0","0","0","0","0","0","2","0","7","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"L188","ContainsOnlyInner","test.ContainsOnlyInner","L104","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\etc\testcases\taskdefs\optional\depend\src4\test\ContainsOnlyInner.java","19","1","23","2","0","0","0","0","0","0","0","0","1","0","0","1","2","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","5","5","0","0","0","0","1","0","0","0","1","1","0","0","0","5","5","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","5","1","1","0","0","1","0","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L206","MethodParam","test.MethodParam","L104","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\etc\testcases\taskdefs\optional\depend\src4\test\MethodParam.java","19","1","23","2","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","5","5","0","0","0","0","1","0","0","0","1","1","0","0","0","5","5","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","5","1","1","0","0","1","0","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L203","Outer","test.Outer","L104","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\etc\testcases\taskdefs\optional\depend\src4\test\Outer.java","19","1","22","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L263","Task1","Task1","L215","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\etc\testcases\core\loaderref\src\Task1.java","19","1","20","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","2","2","0","0","1","2","2","9","9","0","0","0","0","0","0","39","0","0","29","7","2","2","9","9","0","0","0","0","0","0","39","0","0","29","7","0","0","3","0","1","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L265","Alpha","Alpha","L215","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\etc\testcases\taskdefs\manifestclasspath\Alpha.java","17","1","21","2","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","0","1","0.5","0.761905","16","16","1","1","0.761905","16","0","0","1","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","1","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L272","Beta","Beta","L215","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\etc\testcases\taskdefs\manifestclasspath\Beta.java","17","1","25","2","0","0","0","0","0","0","0","0","1","0","0","2","1","0","0","1","3","0.333333","0.64","16","16","1","2","0.64","16","1","1","0","0","1","9","9","0","0","0","0","2","0","2","0","3","3","0","3","0","9","9","0","0","0","0","2","0","2","0","3","3","0","3","0","0","0","5","1","2","0","0","1","0","2","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L290","A","A","L215","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\etc\testcases\taskdefs\optional\depend\src1\A.java","17","1","19","2","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0.842105","16","16","1","0","0.842105","16","2","2","0","0","1","3","3","1","0","1","0","0","0","0","0","0","0","0","0","0","3","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L292","B","B","L215","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\etc\testcases\taskdefs\optional\depend\src1\B.java","17","1","18","2","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","1","0.888889","16","16","1","0","0.888889","16","1","1","4","4","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L303","C","C","L215","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\etc\testcases\taskdefs\optional\depend\src1\C.java","17","1","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0.888889","16","16","1","0","0.888889","16","0","0","1","5","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L299","D","D","L215","L103","C:\Users\pemix\SourceMeter-10.0.0-x64-Windows\Java\apache-ant-1.9.9\src\etc\testcases\taskdefs\optional\depend\src1\D.java","17","1","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0.888889","16","16","1","0","0.888889","16","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
